0.17,0.48,0.71,0.93,1.09,1.21,1.35,1.5,1.59,1.7,1.88,1.94,2.04,2.22,2.27,2.38,2.44,2.6,2.81,2.99,3.07,3.2,3.34,3.43,3.6,3.71,3.8,3.92,4.04,4.18,4.28,4.39,4.45,4.53,4.68,4.71,4.88,5.08,5.14,5.25,5.36,5.55,5.7,5.78,5.93,6,6.05,6.09,6.18,6.3,6.48,6.66,6.74,6.8,6.9,6.98,7.08,7.11,7.19,7.19,7.19,7.27,7.35,7.47,7.54,7.58,7.72,7.82,7.85,7.8,7.82,7.91,7.92,7.96,8.09,8.13,8.17,8.21,8.25,8.26,8.31,8.31,8.37,8.4,8.52,8.56,8.61,8.67,8.74,8.93,9.01,9.08,9.04,9.13,9.16,9.25,9.34,9.4,9.41,9.39,9.46,9.53,9.65,9.78,9.84,9.82,9.82,9.8,9.81,9.81,9.89,9.97,10.03,10.03,10.01,10.04,10.18,10.19,10.27,10.35,10.33,10.34,10.35,10.41,10.57,10.53,10.59,10.63,10.67,10.67,10.82,10.85,10.99,11.1,10.98,11.01,11.1,11.13,11.18,11.13,11.22,11.23,11.26,11.34,11.36,11.44,11.57,11.66,11.64,11.73,11.89,11.92,12.05,12.12,12.13,12.16,12.23,12.26,12.37,12.38,12.52,12.63,12.68,12.76,12.83,12.83,12.85,12.89,12.97,13.03,13.09,13.09,13.19,13.27,13.29,13.31,13.33,13.36,13.43,13.47,13.52,13.5,13.55,13.53,13.53,13.52,13.57,13.64,13.69,13.74,13.71,13.82,13.77,13.72,13.67,13.63,13.61,13.59,13.6,13.66,13.73,13.84,13.89,13.94,13.94,13.93,13.89,13.76,13.77,13.73,13.75,13.76,13.75,13.69,13.6,13.62,13.7,13.73,13.68,13.78,13.8,13.79,13.85,13.87,13.91,13.94,13.91,13.94,13.96,13.96,13.98,13.99,14.01,13.92,13.97,13.91,14.01,14.05,14.08,14.12,14.17,14.21,14.28,14.23,14.18,14.14,14.11,14.03,14.05,14.03,14.03,14.02,14.12,14.19,14.15,14.15,14.22,14.22,14.26,14.19,14.24,14.22,14.22,14.24,14.28,14.31,14.26,14.32,14.4,14.38,14.53,14.45,14.39,14.48,14.51,14.5,14.5,14.57,14.61,14.64,14.65,14.73,14.68,14.68,14.72,14.87,14.89,14.93,14.93,14.8,14.76,14.78,14.76,14.74,14.86,14.96,15,14.89,14.96,14.9
0.11,0.2,0.35,0.58,0.77,0.9,1.13,1.3,1.41,1.59,1.86,1.92,2.06,2.18,2.24,2.37,2.5,2.67,2.83,2.95,3.08,3.21,3.38,3.52,3.64,3.62,3.72,3.9,4.07,4.24,4.41,4.45,4.62,4.77,4.83,4.99,5.17,5.32,5.47,5.57,5.74,5.88,5.94,6.05,6.24,6.36,6.45,6.56,6.59,6.75,6.82,7.06,7.15,7.23,7.3,7.37,7.41,7.53,7.65,7.84,7.94,7.96,8.11,8.17,8.31,8.34,8.45,8.55,8.61,8.65,8.77,8.87,8.98,8.98,9.01,9.1,9.22,9.29,9.41,9.53,9.64,9.63,9.72,9.79,9.91,10.04,10.21,10.25,10.37,10.44,10.53,10.62,10.68,10.8,10.8,10.9,10.95,10.98,11.07,11.22,11.29,11.32,11.44,11.45,11.5,11.56,11.57,11.64,11.69,11.82,11.89,11.97,12.02,12.02,12.16,12.28,12.26,12.32,12.41,12.45,12.54,12.52,12.6,12.63,12.68,12.79,12.95,12.95,13.01,13.13,13.2,13.21,13.25,13.38,13.36,13.44,13.57,13.65,13.65,13.73,13.78,13.81,13.83,13.78,13.86,13.97,13.93,14,13.96,13.99,14.01,14.15,14.16,14.15,14.16,14.19,14.32,14.43,14.5,14.56,14.62,14.54,14.63,14.67,14.75,14.8,14.78,14.79,14.96,15.07,15.08,15.16,15.19,15.33,15.39,15.42,15.51,15.59,15.67,15.85,15.88,15.96,16.14,16.22,16.29,16.33,16.47,16.49,16.51,16.57,16.58,16.64,16.65,16.71,16.8,16.88,16.94,16.98,17.04,17.04,17.08,17.04,17.11,17.2,17.27,17.29,17.39,17.47,17.52,17.6,17.71,17.72,17.73,17.73,17.92,17.96,18.03,18.05,18.11,18.18,18.21,18.22,18.28,18.35,18.34,18.48,18.41,18.45,18.5,18.58,18.64,18.62,18.77,18.82,18.96,19.01,19.03,19.11,19.15,19.28,19.38,19.45,19.55,19.57,19.57,19.7,19.71,19.72,19.82,19.9,19.89,19.9,20.05,20.17,20.08,20.13,20.21,20.28,20.33,20.42,20.44,20.48,20.5,20.51,20.63,20.65,20.75,20.81,20.86,20.85,20.88,20.99,20.98,20.97,21.1,21.12,21.18,21.29,21.35,21.29,21.4,21.48,21.44,21.44,21.42,21.46,21.48,21.56,21.63,21.71,21.78,21.82,21.78,21.84,21.94,22.03,22.09,22.14,22.23,22.32
0.15,0.33,0.57,0.7,0.92,1.09,1.29,1.35,1.49,1.62,1.79,2.05,2.21,2.33,2.51,2.69,2.96,3.15,3.26,3.43,3.66,3.8,3.85,4.09,4.24,4.41,4.42,4.54,4.73,4.9,5.11,5.33,5.43,5.56,5.73,5.9,6.06,6.2,6.46,6.68,6.78,6.88,7.04,7.17,7.25,7.42,7.55,7.72,7.88,7.91,8.03,8.12,8.24,8.33,8.55,8.7,8.85,8.99,9.04,9.15,9.28,9.41,9.52,9.62,9.81,9.98,10.04,10.17,10.26,10.23,10.35,10.57,10.68,10.8,10.94,11.08,11.13,11.32,11.41,11.51,11.63,11.85,12.04,12.09,12.23,12.35,12.46,12.56,12.68,12.86,13.01,13.05,12.99,13.11,13.27,13.29,13.43,13.43,13.49,13.54,13.71,13.89,13.98,14.09,14.28,14.38,14.41,14.51,14.66,14.72,14.81,14.96,15.06,15.14,15.3,15.41,15.49,15.54,15.7,15.71,15.83,15.94,16.01,16.12,16.15,16.22,16.27,16.33,16.46,16.55,16.55,16.73,16.81,16.92,16.97,17.03,17.11,17.12,17.28,17.42,17.54,17.6,17.67,17.74,17.91,18.04,18.13,18.32,18.41,18.48,18.61,18.66,18.67,18.83,18.83,18.91,19.01,19.07,19.16,19.34,19.43,19.46,19.65,19.71,19.79,19.84,19.92,20.04,20.15,20.23,20.34,20.38,20.47,20.57,20.76,20.81,20.89,20.97,21.04,21.12,21.17,21.22,21.27,21.35,21.5,21.55,21.68,21.83,21.91,21.97,21.98,21.98,22.09,22.19,22.23,22.33,22.5,22.58,22.73,22.81,22.94,23.04,23.16,23.28,23.31,23.4,23.44,23.49,23.58,23.66,23.78,23.88,23.99,24.06,24.04,24.18,24.33,24.33,24.34,24.46,24.47,24.52,24.62,24.67,24.77,24.84,24.91,24.93,24.97,25.01,25.06,25.11,25.24,25.32,25.42,25.45,25.53,25.59,25.64,25.73,25.77,25.88,25.93,26.02,26.09,26.24,26.35,26.36,26.31,26.26,26.36,26.42,26.46,26.52,26.62,26.76,26.86,26.92,27.08,27.1,27.11,27.22,27.25,27.32,27.37,27.43,27.4,27.55,27.63,27.73,27.76,27.77,27.81,27.89,27.99,28.12,28.22,28.19,28.26,28.44,28.49,28.55,28.61,28.71,28.75,28.72,28.76,28.71,28.83,28.86,28.92,28.98,29.04,29.1,29.23,29.33,29.3,29.27,29.34,29.4
0.24,0.42,0.6,0.77,1.02,1.22,1.32,1.52,1.71,1.97,2.19,2.36,2.48,2.67,2.83,3.02,3.23,3.46,3.74,3.84,4.04,4.25,4.5,4.75,4.97,5.16,5.39,5.63,5.88,6.06,6.27,6.48,6.73,6.94,7.08,7.24,7.44,7.57,7.76,7.94,8.09,8.2,8.41,8.58,8.81,9.04,9.19,9.4,9.68,9.88,10.15,10.41,10.52,10.75,10.96,11.16,11.4,11.57,11.78,11.94,12.23,12.39,12.58,12.86,13.13,13.34,13.63,13.81,14.06,14.23,14.47,14.68,14.83,15.01,15.27,15.43,15.56,15.74,15.95,16.11,16.32,16.47,16.56,16.8,16.98,17.11,17.28,17.46,17.66,17.88,18.11,18.33,18.59,18.82,19.03,19.18,19.41,19.55,19.72,19.91,20.02,20.36,20.62,20.86,21.1,21.24,21.43,21.66,21.87,22.08,22.33,22.58,22.75,23.01,23.16,23.42,23.63,23.8,24,24.12,24.28,24.52,24.68,24.84,24.99,25.28,25.56,25.77,25.89,26.07,26.28,26.52,26.68,26.82,27.04,27.18,27.42,27.63,27.82,27.92,28.17,28.41,28.67,28.95,29.27,29.48,29.7,29.87,30.03,30.23,30.43,30.52,30.75,30.99,31.12,31.31,31.51,31.69,31.83,32.04,32.18,32.36,32.5,32.72,32.84,33.02,33.18,33.28,33.42,33.61,33.82,34.02,34.13,34.36,34.68,34.89,35.09,35.3,35.53,35.82,35.98,36.15,36.41,36.67,36.89,37.1,37.26,37.5,37.66,37.88,38,38.15,38.26,38.44,38.64,38.84,39.03,39.22,39.38,39.66,39.94,40.07,40.2,40.4,40.53,40.7,40.93,41.09,41.27,41.41,41.66,41.87,42.07,42.21,42.42,42.68,42.98,43.18,43.24,43.41,43.55,43.66,43.86,44.05,44.22,44.45,44.65,44.88,45.05,45.2,45.27,45.47,45.62,45.74,46.01,46.1,46.32,46.62,46.84,46.95,47.25,47.51,47.79,47.94,48.08,48.16,48.3,48.48,48.65,48.84,49.1,49.28,49.52,49.76,49.94,50.08,50.3,50.55,50.71,50.82,51,51.23,51.44,51.63,51.83,52,52.17,52.37,52.55,52.77,53.04,53.18,53.33,53.58,53.85,54.08,54.29,54.53,54.78,55.01,55.21,55.44,55.6,55.81,56.06,56.3,56.48,56.67,56.94,57.13,57.26,57.47,57.69,57.88,58.1,58.27,58.5,58.74,59.05,59.21
